id,license_author,status,image,is_main,license,exercise
1,,2,https://wger.de/media/exercise-images/4/Crunches-1.png,True,1,4
2,,2,https://wger.de/media/exercise-images/4/Crunches-2.png,True,1,4
3,,2,https://wger.de/media/exercise-images/91/Crunches-1.png,True,1,91
4,Everkinetic,2,https://wger.de/media/exercise-images/91/Crunches-2.png,True,1,91
5,Everkinetic,2,https://wger.de/media/exercise-images/32/Decline-crunch-1.png,True,1,32
6,Everkinetic,2,https://wger.de/media/exercise-images/32/Decline-crunch-2.png,True,1,32
7,,2,https://wger.de/media/exercise-images/93/Decline-crunch-1.png,True,1,93
8,,2,https://wger.de/media/exercise-images/93/Decline-crunch-2.png,True,1,93
9,Everkinetic,2,https://wger.de/media/exercise-images/60/Hyperextensions-1.png,True,1,60
10,Everkinetic,2,https://wger.de/media/exercise-images/60/Hyperextensions-2.png,True,1,60
11,Everkinetic,2,https://wger.de/media/exercise-images/128/Hyperextensions-1.png,True,1,128
12,Everkinetic,2,https://wger.de/media/exercise-images/128/Hyperextensions-2.png,True,1,128
13,Everkinetic,2,https://wger.de/media/exercise-images/38/Narrow-grip-bench-press-1.png,True,1,38
14,Everkinetic,2,https://wger.de/media/exercise-images/38/Narrow-grip-bench-press-2.png,True,1,38
15,Everkinetic,2,https://wger.de/media/exercise-images/88/Narrow-grip-bench-press-1.png,True,1,88
16,Everkinetic,2,https://wger.de/media/exercise-images/88/Narrow-grip-bench-press-2.png,True,1,88
17,Everkinetic,2,https://wger.de/media/exercise-images/3/Standing-biceps-curl-1.png,True,1,3
18,Everkinetic,2,https://wger.de/media/exercise-images/3/Standing-biceps-curl-2.png,True,1,3
19,Everkinetic,2,https://wger.de/media/exercise-images/129/Standing-biceps-curl-1.png,True,1,129
20,Everkinetic,2,https://wger.de/media/exercise-images/129/Standing-biceps-curl-2.png,True,1,129
21,Everkinetic,2,https://wger.de/media/exercise-images/26/Biceps-curl-1.png,True,1,26
22,Everkinetic,2,https://wger.de/media/exercise-images/26/Biceps-curl-2.png,True,1,26
23,Everkinetic,2,https://wger.de/media/exercise-images/81/Biceps-curl-1.png,True,1,81
24,Everkinetic,2,https://wger.de/media/exercise-images/81/Biceps-curl-2.png,True,1,81
25,Everkinetic,2,https://wger.de/media/exercise-images/24/Bicep-curls-1.png,True,1,24
26,Everkinetic,2,https://wger.de/media/exercise-images/24/Bicep-curls-2.png,True,1,24
27,Everkinetic,2,https://wger.de/media/exercise-images/74/Bicep-curls-1.png,True,1,74
28,Everkinetic,2,https://wger.de/media/exercise-images/74/Bicep-curls-2.png,True,1,74
29,Everkinetic,2,https://wger.de/media/exercise-images/29/Tricep-dips-2-1.png,True,1,29
30,Everkinetic,2,https://wger.de/media/exercise-images/29/Tricep-dips-2-2.png,True,1,29
31,Everkinetic,2,https://wger.de/media/exercise-images/82/Tricep-dips-2-1.png,True,1,82
32,Everkinetic,2,https://wger.de/media/exercise-images/82/Tricep-dips-2-2.png,True,1,82
33,Everkinetic,2,https://wger.de/media/exercise-images/68/Bench-dips-1.png,True,1,68
34,Everkinetic,2,https://wger.de/media/exercise-images/68/Bench-dips-2.png,True,1,68
35,Everkinetic,2,https://wger.de/media/exercise-images/83/Bench-dips-1.png,True,1,83
36,Everkinetic,2,https://wger.de/media/exercise-images/83/Bench-dips-2.png,True,1,83
37,Everkinetic,2,https://wger.de/media/exercise-images/8/Dumbbell-shrugs-2.png,True,1,8
38,Everkinetic,2,https://wger.de/media/exercise-images/8/Dumbbell-shrugs-1.png,True,1,8
39,Everkinetic,2,https://wger.de/media/exercise-images/151/Dumbbell-shrugs-2.png,True,1,151
40,Everkinetic,2,https://wger.de/media/exercise-images/151/Dumbbell-shrugs-1.png,True,1,151
41,Everkinetic,2,https://wger.de/media/exercise-images/137/Barbell-shrugs-1.png,True,1,137
42,Everkinetic,2,https://wger.de/media/exercise-images/137/Barbell-shrugs-2.png,True,1,137
43,Everkinetic,2,https://wger.de/media/exercise-images/150/Barbell-shrugs-1.png,True,1,150
44,Everkinetic,2,https://wger.de/media/exercise-images/150/Barbell-shrugs-2.png,True,1,150
45,Everkinetic,2,https://wger.de/media/exercise-images/46/Bicep-hammer-curl-1.png,True,1,46
46,Everkinetic,2,https://wger.de/media/exercise-images/46/Bicep-hammer-curl-2.png,True,1,46
47,Everkinetic,2,https://wger.de/media/exercise-images/86/Bicep-hammer-curl-1.png,True,1,86
48,Everkinetic,2,https://wger.de/media/exercise-images/86/Bicep-hammer-curl-2.png,True,1,86
49,Everkinetic,2,https://wger.de/media/exercise-images/134/Hammer-curls-with-rope-1.png,True,1,134
50,Everkinetic,2,https://wger.de/media/exercise-images/134/Hammer-curls-with-rope-2.png,True,1,134
51,Everkinetic,2,https://wger.de/media/exercise-images/138/Hammer-curls-with-rope-1.png,True,1,138
52,Everkinetic,2,https://wger.de/media/exercise-images/138/Hammer-curls-with-rope-2.png,True,1,138
53,Everkinetic,2,https://wger.de/media/exercise-images/172/Push-ups-1.png,True,1,172
55,Everkinetic,2,https://wger.de/media/exercise-images/195/Push-ups-1.png,True,1,195
56,Everkinetic,2,https://wger.de/media/exercise-images/172/Push-ups-2.png,True,1,172
57,Everkinetic,2,https://wger.de/media/exercise-images/195/Push-ups-2.png,True,1,195
58,Everkinetic,2,https://wger.de/media/exercise-images/25/Lying-close-grip-triceps-press-to-chin-1.png,True,1,25
59,Everkinetic,2,https://wger.de/media/exercise-images/25/Lying-close-grip-triceps-press-to-chin-2.png,True,1,25
60,Everkinetic,2,https://wger.de/media/exercise-images/84/Lying-close-grip-triceps-press-to-chin-1.png,True,1,84
61,Everkinetic,2,https://wger.de/media/exercise-images/84/Lying-close-grip-triceps-press-to-chin-2.png,True,1,84
62,Everkinetic,2,https://wger.de/media/exercise-images/45/Seated-triceps-press-1.png,True,1,45
63,Everkinetic,2,https://wger.de/media/exercise-images/45/Seated-triceps-press-2.png,True,1,45
64,Everkinetic,2,https://wger.de/media/exercise-images/50/Good-mornings-2.png,True,1,50
65,Everkinetic,2,https://wger.de/media/exercise-images/50/Good-mornings-1.png,True,1,50
66,Everkinetic,2,https://wger.de/media/exercise-images/116/Good-mornings-2.png,True,1,116
67,Everkinetic,2,https://wger.de/media/exercise-images/116/Good-mornings-1.png,True,1,116
68,Everkinetic,2,https://wger.de/media/exercise-images/192/Bench-press-1.png,True,1,192
69,Everkinetic,2,https://wger.de/media/exercise-images/62/Barbell-upright-rows-2.png,True,1,62
70,Everkinetic,2,https://wger.de/media/exercise-images/192/Bench-press-2.png,True,1,192
71,Everkinetic,2,https://wger.de/media/exercise-images/62/Barbell-upright-rows-1.png,True,1,62
72,Everkinetic,2,https://wger.de/media/exercise-images/36/Chin-ups-2.png,True,1,36
73,Everkinetic,2,https://wger.de/media/exercise-images/181/Chin-ups-2.png,True,1,181
74,Everkinetic,2,https://wger.de/media/exercise-images/36/Chin-ups-1.png,True,1,36
75,Everkinetic,2,https://wger.de/media/exercise-images/181/Chin-ups-1.png,True,1,181
76,Everkinetic,2,https://wger.de/media/exercise-images/76/T-bar-row-1.png,True,1,76
77,Everkinetic,2,https://wger.de/media/exercise-images/106/T-bar-row-1.png,True,1,106
78,Everkinetic,2,https://wger.de/media/exercise-images/76/T-bar-row-2.png,True,1,76
79,Everkinetic,2,https://wger.de/media/exercise-images/106/T-bar-row-2.png,True,1,106
80,Everkinetic,2,https://wger.de/media/exercise-images/59/Barbell-rear-delt-row-1.png,True,1,59
82,Everkinetic,2,https://wger.de/media/exercise-images/59/Barbell-rear-delt-row-2.png,True,1,59
84,Everkinetic,2,https://wger.de/media/exercise-images/109/Barbell-rear-delt-row-1.png,True,1,109
88,Everkinetic,2,https://wger.de/media/exercise-images/70/Reverse-grip-bent-over-rows-1.png,True,1,70
